거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
20000,2005,2015,와촌동,신동아파밀리에,1,11,84.9816,173,44133,5
26300,2005,2015,와촌동,신동아파밀리에,1,12,109.222,173,44133,4
22300,2005,2015,와촌동,신동아파밀리에,1,12,84.9816,173,44133,13
27800,2005,2015,와촌동,신동아파밀리에,1,16,109.222,173,44133,13
21000,2005,2015,와촌동,신동아파밀리에,1,27,84.9816,173,44133,8
23000,2005,2015,와촌동,신동아파밀리에,1,28,84.9816,173,44133,12
23800,2005,2015,와촌동,신동아파밀리에,1,31,84.9816,173,44133,14
12800,1993,2015,성정동,활림1차,1,3,59.98,141-3,44133,6
16800,1986,2015,성정동,대우목화1,1,5,80.001,643,44133,1
17480,2014,2015,성정동,하이스타운3차,1,5,45.7,1335,44133,9
16440,2014,2015,성정동,하이스타운3차,1,5,41.14,1335,44133,4
12500,1991,2015,성정동,주공6-3,1,6,46.99,789,44133,4
16340,2014,2015,성정동,하이스타운3차,1,7,41.4,1335,44133,8
13400,1986,2015,성정동,대우목화1,1,7,60.03,643,44133,1
17100,2014,2015,성정동,해피드림2차,1,7,43.11,1474,44133,6
13000,1988,2015,성정동,주공5-2,1,7,47.01,717,44133,3
12600,1991,2015,성정동,주공6-3,1,9,46.99,789,44133,4
16500,1994,2015,성정동,선경,1,9,84.9,823,44133,1
11600,1993,2015,성정동,활림1차,1,10,59.98,141-3,44133,2
14500,1986,2015,성정동,대우목화1,1,11,53.145,643,44133,4
13500,1989,2015,성정동,주공6-1,1,12,50.09,785,44133,4
17000,2014,2015,성정동,하이스타운3차,1,13,45.7,1335,44133,12
10000,1989,2015,성정동,주공6-1,1,15,47.01,785,44133,4
16340,2014,2015,성정동,하이스타운3차,1,15,41.4,1335,44133,10
13200,1991,2015,성정동,주공6-3,1,15,46.99,789,44133,3
7909,2014,2015,성정동,에프엠21,1,16,22.0409,1292,44133,3
7909,2014,2015,성정동,에프엠21,1,16,22.0409,1292,44133,3
12700,1989,2015,성정동,주공6-1,1,17,47.01,785,44133,4
16500,1988,2015,성정동,주공5-1,1,17,59.12,717,44133,2
17480,2014,2015,성정동,하이스타운3차,1,18,45.7,1335,44133,7
7000,2013,2015,성정동,학산리젠다빌-2차-B동,1,19,21.81,1522,44133,12
14850,1994,2015,성정동,선경,1,19,59.85,823,44133,6
12550,1989,2015,성정동,주공6-1,1,19,50.09,785,44133,5
11500,1991,2015,성정동,주공6-3,1,20,46.99,789,44133,1
7500,2013,2015,성정동,학산리젠다빌-2차-A동,1,20,23.58,1523,44133,14
13000,1991,2015,성정동,주공6-3,1,21,46.99,789,44133,3
8109,2014,2015,성정동,에프엠21,1,21,22.0409,1292,44133,10
12600,1993,2015,성정동,대우성촌프라자,1,21,59.4,698-1,44133,4
13500,1991,2015,성정동,주공6-3,1,22,47.32,789,44133,3
17600,2014,2015,성정동,해피드림2차,1,23,42.36,1474,44133,11
16700,1989,2015,성정동,대우목화2,1,23,79.587,643,44133,3
6800,2012,2015,성정동,엔젤팰리스,1,24,23.4,1357,44133,4
15300,1988,2015,성정동,주공5-1,1,24,59.12,717,44133,4
17400,2014,2015,성정동,해피드림2차,1,25,42.36,1474,44133,5
11500,1988,2015,성정동,주공5-2,1,26,39.69,717,44133,4
10800,1988,2015,성정동,주공5-2,1,27,39.69,717,44133,3
10900,1989,2015,성정동,주공6-1,1,28,39.69,785,44133,5
18100,1990,2015,성정동,현대2,1,29,84.94,413-13,44133,12
16000,2014,2015,성정동,하이스타운3차,1,30,41.14,1335,44133,3
17000,2014,2015,성정동,하이스타운3차,1,30,45.7,1335,44133,3
16600,1986,2015,성정동,대우목화1,1,30,80.001,643,44133,2
11200,1988,2015,성정동,주공5-2,1,31,39.69,717,44133,2
